,stn,avg_temp,lat,lon
413,619960,59.123714285714286,-37.8,77.533
414,619970,42.317171717171725,-46.433,51.85
415,620140,69.30764705882353,31.741,13.957
416,623370,67.76231003039513,31.073,33.836
417,623665,59.70454545454545,24.983,32.867
418,624030,76.25478723404254,26.2,32.75
419,624170,72.97731092436976,29.2,25.483
420,624230,72.93735294117648,27.05,27.983
421,624250,100.4,22.586,28.717
422,624320,75.06225895316801,25.5,28.967
423,624760,80.4063758389262,23.133,35.583
424,626414,85.78017492711375,19.434,37.234
425,627710,82.7731778425656,13.153,30.233
426,627900,82.62982456140348,12.05,24.883
427,629410,82.99090909090908,4.872,31.601
428,631700,75.36676056338028,9.518,44.089
429,636020,80.13636363636364,3.05,30.917
430,636300,78.42439024390244,2.806,32.272
431,636310,83.225,2.283,32.933
432,636540,78.09545454545454,1.683,31.717
433,636580,77.32792792792795,1.728,33.623
434,636800,75.7870813397129,0.317,32.617
435,636820,77.71673640167363,0.45,33.183
436,636840,78.39635416666667,0.683,34.167
437,636880,63.9605072463768,0.404,35.239
438,637020,75.76393442622951,-0.617,30.65
439,637260,68.70227272727274,-1.25,29.983
440,639320,65.98095238095237,-8.933,33.467
441,640060,82.20714285714286,3.235,19.771
442,640400,81.15,0.518,25.155
443,642060,83.55714285714286,-5.517,13.583
444,642110,79.44166666666666,-4.317,15.317
445,644020,75.72727272727273,-3.983,13.917
446,647010,86.94777777777779,14.117,15.317
447,647080,89.40660792951542,12.383,17.05
448,647085,85.64615384615384,14.517,20.9
449,647570,97.15,17.167,21.55
450,650100,85.3,12.916,5.207
451,650280,90.35,13.017,7.683
452,650300,87.3,11.13,7.686
453,650750,81.8,10.283,11.15
454,650820,97.0,11.85,13.083
455,651000,81.99807692307692,7.362,3.978
456,651670,84.94999999999999,9.258,12.43
457,652016,81.54285714285714,5.417,7.2
458,652080,79.25,7.433,3.9
459,652100,84.04444444444445,6.833,3.933
460,652290,82.81363636363636,6.317,5.1
461,661180,77.20579710144926,-6.27,14.247
462,670040,83.15714285714286,-12.132,44.43
463,670200,84.2704347826087,-14.883,47.983
464,670230,78.83333333333336,-14.279,50.175
465,670250,78.2218487394958,-14.999,50.32
466,670670,73.68896103896104,-17.633,48.5
467,670730,81.85333333333332,-18.05,44.033
468,671170,79.83609958506224,-20.285,44.318
469,671370,66.86775510204082,-21.442,47.112
470,671520,71.40378151260504,-22.55,45.4
471,671610,78.23641618497109,-23.383,43.728
472,672050,82.03695652173913,-11.362,40.355
473,672210,78.23750000000001,-13.225,37.552
474,672230,68.87244897959184,-13.133,39.033
475,672651,79.0,-16.833,36.983
476,672850,81.99230769230769,-17.267,38.15
477,673090,79.0569536423841,-22.083,33.367
478,673310,77.88048780487804,-24.483,32.083
479,673460,82.10000000000001,-26.283,32.183
480,674750,74.0,-10.217,31.133
481,677550,79.32901554404145,-17.617,27.333
482,677610,79.02255319148937,-16.52,28.885
483,677650,68.5953846153846,-16.833,29.617
484,677670,83.68888888888888,-15.633,30.417
485,677790,73.68398268398269,-16.783,31.583
486,677810,68.73922829581993,-17.432,32.185
487,678430,75.17065868263472,-18.096,25.839
488,678530,74.9421875,-18.63,27.021
489,678610,70.37854889589906,-18.217,28.933
490,678650,69.81964285714287,-18.933,29.833
491,678670,66.16781250000001,-19.436,29.862
492,678690,72.87268292682926,-18.317,29.883
493,678710,71.74098360655736,-19.033,30.883
494,678770,66.8840909090909,-18.183,31.467
495,678810,65.3089928057554,-18.533,32.133
496,678890,62.02100000000001,-18.283,32.75
497,678950,65.15454545454546,-18.717,32.85
498,678970,65.20909090909092,-19.883,32.883
499,679610,70.09385245901642,-20.917,28.45
